id_student,final_result,avg_days_to_deadline,std_days_to_deadline,earliest_submission,latest_submission,avg_score,num_submissions,num_login_days,total_clicks,last_minute_ratio,engagement_intensity,deadline_pressure,login_consistency,early_starter,completion_rate,activity_span,high_risk
11391,Pass,-1.8,0.8366600265340756,-3.0,-1.0,82.0,5.0,40.0,934.0,0.4,23.35,0.0,0.8366600265340756,0,1.0,2.0,0
28400,Pass,0.0,3.24037034920393,-3.0,4.0,66.4,5.0,80.0,1435.0,0.0,17.9375,0.0,3.24037034920393,0,1.0,7.0,0
30268,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,12.0,281.0,,23.416666666666668,0.0,0.0,0,0.0,0.0,1
31604,Pass,-2.0,0.7071067811865476,-3.0,-1.0,76.0,5.0,123.0,2158.0,0.2,17.54471544715447,0.0,0.7071067811865476,0,1.0,2.0,0
32885,Pass,11.4,6.387487769068525,7.0,21.0,54.4,5.0,70.0,1034.0,0.0,14.771428571428572,11.4,6.387487769068525,0,1.0,14.0,1
38053,Pass,2.0,4.472135954999579,0.0,10.0,68.0,5.0,143.0,2445.0,0.8,17.097902097902097,2.0,4.472135954999579,0,1.0,10.0,0
45462,Pass,0.4,0.5477225575051662,0.0,1.0,68.0,5.0,90.0,1492.0,1.0,16.57777777777778,0.4,0.5477225575051662,0,1.0,1.0,0
45642,Pass,2.6,5.504543577809154,-1.0,12.0,72.4,5.0,105.0,1428.0,0.6,13.6,2.6,5.504543577809154,0,1.0,13.0,0
52130,Pass,1.4,3.1304951684997055,0.0,7.0,71.4,5.0,122.0,1894.0,0.8,15.524590163934427,1.4,3.1304951684997055,0,1.0,7.0,0
53025,Pass,-4.6,3.2093613071762426,-10.0,-2.0,78.0,5.0,142.0,3158.0,0.0,22.239436619718308,0.0,3.2093613071762426,1,1.0,8.0,0
57506,Pass,-0.8,0.4472135954999579,-1.0,0.0,74.0,5.0,90.0,1319.0,1.0,14.655555555555555,0.0,0.4472135954999579,0,1.0,1.0,0
58873,Pass,0.4,0.894427190999916,0.0,2.0,73.2,5.0,120.0,1732.0,0.8,14.433333333333334,0.4,0.894427190999916,0,1.0,2.0,0
59185,Pass,-0.4,0.5477225575051661,-1.0,0.0,78.6,5.0,61.0,1102.0,1.0,18.065573770491802,0.0,0.5477225575051661,0,1.0,1.0,0
62155,Pass,-2.6,0.8944271909999159,-4.0,-2.0,76.0,5.0,148.0,3388.0,0.0,22.89189189189189,0.0,0.8944271909999159,0,1.0,2.0,0
63400,Pass,0.0,0.0,0.0,0.0,71.6,5.0,175.0,2737.0,1.0,15.64,0.0,0.0,0,1.0,0.0,0
65002,Withdrawn,-20.0,24.7521042876493,-55.0,-2.0,67.0,4.0,13.0,176.0,0.0,13.538461538461538,0.0,24.7521042876493,1,0.8,53.0,1
65002,Withdrawn,-20.0,24.7521042876493,-55.0,-2.0,67.0,4.0,13.0,176.0,0.0,13.538461538461538,0.0,24.7521042876493,1,0.8,53.0,1
70464,Pass,-4.6,6.985699678629192,-17.0,0.0,55.6,5.0,46.0,1053.0,0.2,22.891304347826086,0.0,6.985699678629192,1,1.0,17.0,0
71361,Pass,-0.4,0.5477225575051661,-1.0,0.0,80.4,5.0,135.0,2327.0,1.0,17.237037037037037,0.0,0.5477225575051661,0,1.0,1.0,0
74372,Fail,1.5,1.7320508075688772,0.0,3.0,48.5,4.0,14.0,116.0,0.5,8.285714285714286,1.5,1.7320508075688772,0,0.8,3.0,1
75091,Pass,-0.6,2.701851217221259,-3.0,4.0,66.0,5.0,122.0,2992.0,0.4,24.524590163934427,0.0,2.701851217221259,0,1.0,7.0,0
77367,Pass,0.8,3.5637059362410923,-2.0,7.0,70.4,5.0,86.0,680.0,0.6,7.906976744186046,0.8,3.5637059362410923,0,1.0,9.0,0
91265,Pass,5.2,2.949576240750525,2.0,10.0,70.8,5.0,125.0,1494.0,0.0,11.952,5.2,2.949576240750525,0,1.0,8.0,1
