id_student,final_result,avg_days_to_deadline,std_days_to_deadline,earliest_submission,latest_submission,avg_score,num_submissions,num_login_days,total_clicks
11391,Pass,-1.8,0.8366600265340756,-3.0,-1.0,82.0,5.0,40.0,934.0
28400,Pass,0.0,3.24037034920393,-3.0,4.0,66.4,5.0,80.0,1435.0
30268,Withdrawn,,,,,,,12.0,281.0
31604,Pass,-2.0,0.7071067811865476,-3.0,-1.0,76.0,5.0,123.0,2158.0
32885,Pass,11.4,6.387487769068525,7.0,21.0,54.4,5.0,70.0,1034.0
38053,Pass,2.0,4.472135954999579,0.0,10.0,68.0,5.0,143.0,2445.0
45462,Pass,0.4,0.5477225575051662,0.0,1.0,68.0,5.0,90.0,1492.0
45642,Pass,2.6,5.504543577809154,-1.0,12.0,72.4,5.0,105.0,1428.0
52130,Pass,1.4,3.1304951684997055,0.0,7.0,71.4,5.0,122.0,1894.0
53025,Pass,-4.6,3.2093613071762426,-10.0,-2.0,78.0,5.0,142.0,3158.0
57506,Pass,-0.8,0.4472135954999579,-1.0,0.0,74.0,5.0,90.0,1319.0
58873,Pass,0.4,0.894427190999916,0.0,2.0,73.2,5.0,120.0,1732.0
59185,Pass,-0.4,0.5477225575051661,-1.0,0.0,78.6,5.0,61.0,1102.0
62155,Pass,-2.6,0.8944271909999159,-4.0,-2.0,76.0,5.0,148.0,3388.0
63400,Pass,0.0,0.0,0.0,0.0,71.6,5.0,175.0,2737.0
65002,Withdrawn,-20.0,24.7521042876493,-55.0,-2.0,67.0,4.0,13.0,176.0
65002,Withdrawn,-20.0,24.7521042876493,-55.0,-2.0,67.0,4.0,13.0,176.0
70464,Pass,-4.6,6.985699678629192,-17.0,0.0,55.6,5.0,46.0,1053.0
71361,Pass,-0.4,0.5477225575051661,-1.0,0.0,80.4,5.0,135.0,2327.0
74372,Fail,1.5,1.7320508075688772,0.0,3.0,48.5,4.0,14.0,116.0
75091,Pass,-0.6,2.701851217221259,-3.0,4.0,66.0,5.0,122.0,2992.0
77367,Pass,0.8,3.5637059362410923,-2.0,7.0,70.4,5.0,86.0,680.0
91265,Pass,5.2,2.949576240750525,2.0,10.0,70.8,5.0,125.0,1494.0
94961,Withdrawn,-4.0,8.461678320522472,-20.0,5.0,65.33333333333333,6.0,93.0,1240.0
94961,Withdrawn,-4.0,8.461678320522472,-20.0,5.0,65.33333333333333,6.0,93.0,1240.0
98094,Pass,-7.8,4.8166378315169185,-13.0,-1.0,60.6,5.0,91.0,2839.0
100893,Pass,0.2,3.7013511046643495,-4.0,5.0,68.4,5.0,52.0,744.0
101781,Pass,-1.8,0.8366600265340756,-3.0,-1.0,72.6,5.0,144.0,4104.0
102806,Pass,0.0,0.0,0.0,0.0,78.0,5.0,177.0,1944.0
102952,Pass,-0.4,0.894427190999916,-2.0,0.0,76.6,5.0,58.0,1150.0
104476,Pass,3.8,5.310367218940701,0.0,11.0,79.6,5.0,161.0,4777.0
106247,Withdrawn,7.0,7.937253933193772,-2.0,13.0,60.0,3.0,33.0,465.0
106577,Pass,1.2,3.271085446759225,-1.0,7.0,53.4,5.0,47.0,733.0
110175,Pass,-0.4,0.894427190999916,-1.0,1.0,63.4,5.0,70.0,998.0
111717,Pass,-3.0,5.196152422706632,-9.0,0.0,81.0,3.0,136.0,2343.0
113295,Pass,3.4,5.128352561983234,-4.0,7.0,77.6,5.0,195.0,3553.0
114017,Pass,-1.0,0.0,-1.0,-1.0,71.8,5.0,50.0,757.0
114999,Pass,1.4,3.7815340802378077,-2.0,6.0,72.8,5.0,120.0,1358.0
116541,Pass,9.4,8.203657720797473,0.0,21.0,62.4,5.0,108.0,1886.0
116692,Pass,-4.6,2.1908902300206647,-7.0,-3.0,74.2,5.0,98.0,1108.0
118983,Pass,0.0,0.0,0.0,0.0,61.8,5.0,27.0,284.0
123044,Pass,1.2,2.6832815729997477,0.0,6.0,71.4,5.0,127.0,2041.0
127582,Pass,4.2,3.8340579025361627,0.0,7.0,69.6,5.0,89.0,1321.0
129955,Withdrawn,-30.666666666666668,48.59492428913401,-118.0,10.0,81.0,6.0,110.0,1888.0
129955,Withdrawn,-30.666666666666668,48.59492428913401,-118.0,10.0,81.0,6.0,110.0,1888.0
132976,Pass,-0.8,0.4472135954999579,-1.0,0.0,67.4,5.0,32.0,520.0
134143,Distinction,-0.8,0.4472135954999579,-1.0,0.0,84.4,5.0,138.0,2732.0
135335,Withdrawn,,,,,,,14.0,73.0
135335,Withdrawn,,,,,,,14.0,73.0
135400,Withdrawn,4.428571428571429,7.091242083423347,-5.0,14.0,53.142857142857146,7.0,43.0,610.0
135400,Withdrawn,4.428571428571429,7.091242083423347,-5.0,14.0,53.142857142857146,7.0,43.0,610.0
137873,Pass,-1.8,2.4899799195977463,-5.0,0.0,80.2,5.0,192.0,5528.0
141355,Pass,1.4,3.1304951684997055,0.0,7.0,72.6,5.0,92.0,1823.0
141377,Withdrawn,8.5,13.852797551397336,-2.0,35.0,48.833333333333336,6.0,41.0,756.0
141377,Withdrawn,8.5,13.852797551397336,-2.0,35.0,48.833333333333336,6.0,41.0,756.0
142326,Pass,1.0,5.70087712549569,-3.0,11.0,73.6,5.0,95.0,2121.0
144801,Pass,0.6,0.894427190999916,0.0,2.0,68.8,5.0,200.0,5645.0
145130,Pass,4.2,5.761944116355173,0.0,11.0,54.4,5.0,35.0,452.0
146188,Fail,4.8,7.463243262818116,0.0,17.0,50.0,5.0,32.0,597.0
147756,Fail,6.777777777777778,6.704061787039588,-1.0,21.0,68.66666666666667,9.0,127.0,1718.0
147756,Fail,6.777777777777778,6.704061787039588,-1.0,21.0,68.66666666666667,9.0,127.0,1718.0
147793,Withdrawn,13.0,,13.0,13.0,52.0,1.0,9.0,155.0
148993,Withdrawn,4.25,3.2841611235921855,0.0,9.0,79.5,8.0,198.0,3812.0
148993,Withdrawn,4.25,3.2841611235921855,0.0,9.0,79.5,8.0,198.0,3812.0
151358,Pass,-3.6,3.0495901363953815,-9.0,-2.0,50.0,5.0,20.0,270.0
155550,Pass,0.8,1.7888543819998317,0.0,4.0,67.0,5.0,81.0,1529.0
155854,Pass,-1.0,0.0,-1.0,-1.0,79.8,5.0,202.0,4003.0
155984,Withdrawn,7.142857142857143,13.4465431918216,0.0,36.0,78.14285714285714,7.0,134.0,2645.0
155984,Withdrawn,7.142857142857143,13.4465431918216,0.0,36.0,78.14285714285714,7.0,134.0,2645.0
